sort_record,match_pfg_nom,dupe,spelling_issue,pfg,source
1273,Acianthus caudatus var. caudatus,1,NA,Tdr,MC_oneTrueList
3895,Acianthus caudatus var. pallidus,,NA,Tdr,JN_MLR_list
1274,Acianthus fornicatus,,NA,Tdr,MC_oneTrueList
3896,Acianthus pusillus,,NA,Tdr,JN_MLR_list
1275,Acianthus pusillus,1,NA,Tdr,MC_oneTrueList
3897,Acianthus sp.,,NA,Tdr,JN_MLR_list
1276,Aciphylla simplicifolia,,NA,Tdr,MC_oneTrueList
1277,Acronychia imperforata,,NA,Tdr,MC_oneTrueList
1278,Acroptilon repens,,NA,Tdr,MC_oneTrueList
1279,Acrotriche cordata,,NA,Tdr,MC_oneTrueList
3898,Acrotriche patula,,NA,ATw,JN_MLR_list
3899,Acrotriche serrulata,,NA,ATw,JN_MLR_list
1280,Acrotriche serrulata,1,NA,ATw,MC_oneTrueList
3900,Acrotriche sp.,,NA,ATw,JN_MLR_list
1281,Acrotriche sp.,1,NA,ATw,MC_oneTrueList
5015,Actinobole uliginosum,,NA,Tdr,Bowen_Phd
5601,Actinobole uliginosum,1,NA,Tdr,Campbell_RC
1282,Actinobole uliginosum,1,NA,Tdr,MC_oneTrueList
1283,Adenanthos cygnorum,,NA,ATw,MC_oneTrueList
1284,Adenanthos obovatus,,NA,ATw,MC_oneTrueList
3901,Adenanthos sp.,,NA,Tdr,JN_MLR_list
3902,Adenanthos terminalis,,NA,Tdr,JN_MLR_list
1285,Adenanthos terminalis,1,NA,Tdr,MC_oneTrueList
3903,Adiantum aethiopicum,,NA,Tda,JN_MLR_list
1286,Adiantum atroviride,,NA,Tda,MC_oneTrueList
3904,Adiantum capillus-veneris,,NA,Tda,JN_MLR_list
3905,Adiantum sp.,,NA,Tda,JN_MLR_list
1287,Adiantum sp.,1,NA,ATl,MC_oneTrueList
157,Adriana tomentosa,,NA,Tda,Ling et al 2019
5016,Aeschynomene indica,,NA,Tda,Bowen_Phd
915,Aeschynomene indica,1,NA,ATe,Mason et al 2022
1288,Aeschynomene indica,1,NA,ATe,MC_oneTrueList
1009,Aeschynomene indica,1,NA,Tda,Price et al 2010
1289,Agapanthus praecox,,NA,Tdr,MC_oneTrueList
5602,Agapanthus sp.,,NA,Tdr,Campbell_RC
3906,Agave sp.,,NA,Tdr,JN_MLR_list
1290,Agave sp.,1,NA,Tdr,MC_oneTrueList
1291,Ageratina adenophora,,NA,Tdr,MC_oneTrueList
1292,Ageratina riparia,,NA,Tda,MC_oneTrueList
1293,Ageratum conyzoides,,NA,Tdr,MC_oneTrueList
3907,Agrostis aemula,,NA,Tdr,JN_MLR_list
3908,Agrostis aequata,,NA,Tdr,JN_MLR_list
1145,Agrostis avenacea,,NA,ATe,Brock & Casanova 2000
3909,Agrostis avenacea,1,NA,ATe,JN_MLR_list
1089,Agrostis avenacea,1,NA,AT,Leck & Brock 2000
3910,Agrostis avenacea var. avenacea,,NA,ATe,JN_MLR_list
3911,Agrostis avenacea var. perennis,,NA,ATe,JN_MLR_list
6326,Agrostis bettyae,,NA,ATe,Johns et al 2015
3912,Agrostis capillaris,,NA,Tdr,JN_MLR_list
1294,Agrostis capillaris,1,NA,Tdr,MC_oneTrueList
3913,Agrostis gigantea,,NA,Tdr,JN_MLR_list
1295,Agrostis hiemalis,,NA,Tda,MC_oneTrueList
1296,Agrostis parviflora,,NA,Tda,MC_oneTrueList
3914,Agrostis rudis,,NA,Tdr,JN_MLR_list
3915,Agrostis sp.,,NA,ATe,JN_MLR_list
1297,Agrostis sp.,1,NA,Tdr,MC_oneTrueList
1298,Agrostis sp. (aff. hiemalis),,NA,Tda,MC_oneTrueList
1299,Agrostis sp. (aff. parviflora),,NA,Tda,MC_oneTrueList
3916,Agrostis stolonifera,,NA,Tdr,JN_MLR_list
3917,Agrostis venusta,,NA,Tdr,JN_MLR_list
1300,Agrostis venusta,1,NA,Tda,MC_oneTrueList
1301,Aira caryophyllea,,NA,Tdr,MC_oneTrueList
2,Aira cupaniana,,NA,Tdr,Deane et al 2017
3918,Aira cupaniana,1,NA,Tdr,JN_MLR_list
1302,Aira cupaniana,1,NA,Tdr,MC_oneTrueList
5603,Aira elegantissima,,NA,Tdr,Campbell_RC
1303,Aira elegantissima,1,NA,Tdr,MC_oneTrueList
3919,Aira praecox,,NA,Tdr,JN_MLR_list
5604,Aira sp.,,NA,Tdr,Campbell_RC
3920,Aira sp.,1,NA,Tdr,JN_MLR_list
1304,Aira sp.,1,NA,Tdr,MC_oneTrueList
660,Ajuga australis,,NA,Tdr,Campbell et al 2014
5605,Ajuga australis,1,NA,Tdr,Campbell_RC
1305,Ajuga australis,1,NA,Tdr,MC_oneTrueList
5017,Alectryon oleifolius,,NA,Tdr,Bowen_Phd
1306,Alectryon oleifolius,1,NA,Tdr,MC_oneTrueList
5018,Alectryon oleifolius subsp. canescens,,NA,Tdr,Bowen_Phd
1307,Alexgeorgea nitens,,NA,Tdr,MC_oneTrueList
5606,Alisma lanceolatum,,NA,ATe,Campbell_RC
3,Alisma lanceolatum,1,NA,Se,Deane et al 2017
3921,Alisma lanceolatum,1,NA,Se,JN_MLR_list
1308,Alisma lanceolatum,1,NA,ARp,MC_oneTrueList
5607,Alisma plantago-aquatica,,NA,ATe,Campbell_RC
3922,Alisma plantago-aquatica,1,NA,Se,JN_MLR_list
158,Alisma plantago-aquatica,1,NA,ARf,Ling et al 2019
1309,Alisma plantago-aquatica,1,NA,ARf,MC_oneTrueList
5608,Alisma sp.,,NA,ATe,Campbell_RC
572,Allittia cardiocarpa,,NA,ATe,Casanova & Powling 2014
1310,Allittia cardiocarpa,1,NA,ATe,MC_oneTrueList
1311,Allium triquetrum,,NA,Tdr,MC_oneTrueList
1312,Allocasuarina littoralis,,NA,Tdr,MC_oneTrueList
1313,Allocasuarina luehmannii,,NA,Tdr,MC_oneTrueList
3923,Allocasuarina mackliniana,,NA,Tda,JN_MLR_list
3924,Allocasuarina mackliniana subsp. mackliniana,,NA,Tda,JN_MLR_list
1314,Allocasuarina mackliniana subsp. mackliniana,1,NA,Tda,MC_oneTrueList
3925,Allocasuarina mackliniana subsp. xerophila,,NA,Tda,JN_MLR_list
3926,Allocasuarina muelleriana,,NA,Tdr,JN_MLR_list
3927,Allocasuarina muelleriana subsp. alticola,,NA,Tdr,JN_MLR_list
3928,Allocasuarina muelleriana subsp. muelleriana,,NA,Tdr,JN_MLR_list
1315,Allocasuarina muelleriana subsp. muelleriana,1,NA,Tdr,MC_oneTrueList
3929,Allocasuarina muelleriana subsp. notocolpica,,NA,Tdr,JN_MLR_list
6327,Allocasuarina nana,,NA,Tdr,Johns et al 2015
3930,Allocasuarina paludosa,,NA,ATw,JN_MLR_list
159,Allocasuarina paludosa,1,NA,ATw,Ling et al 2019
1316,Allocasuarina paludosa,1,NA,ATw,MC_oneTrueList
3931,Allocasuarina pusilla,,NA,Tda,JN_MLR_list
1317,Allocasuarina pusilla,1,NA,Tda,MC_oneTrueList
1318,Allocasuarina rigida subsp. rigida,,NA,Tdr,MC_oneTrueList
3932,Allocasuarina sp.,,NA,Tdr,JN_MLR_list
3933,Allocasuarina striata,,NA,Tda,JN_MLR_list
1319,Allocasuarina striata,1,NA,Tda,MC_oneTrueList
3934,Allocasuarina verticillata,,NA,Tdr,JN_MLR_list
1320,Allocasuarina verticillata,1,NA,Tdr,MC_oneTrueList
5019,Alopecurus geniculatus,,NA,Tda,Bowen_Phd
5609,Alopecurus geniculatus,1,NA,Tda,Campbell_RC
1321,Alopecurus geniculatus,1,NA,Tdr,MC_oneTrueList
997,Alopecurus geniculatus,1,NA,AT,Price et al 2010
1322,Alphitonia excelsa,,NA,Tdr,MC_oneTrueList
1323,Alternanthera angustifolia,,NA,Tda,MC_oneTrueList
5020,Alternanthera denticulata,,NA,Tda,Bowen_Phd
661,Alternanthera denticulata,1,NA,Tda,Campbell et al 2014
5610,Alternanthera denticulata,1,NA,Tda,Campbell_RC
3935,Alternanthera denticulata,1,NA,Tda,JN_MLR_list
1033,Alternanthera denticulata,1,NA,T,Leck & Brock 2000
916,Alternanthera denticulata,1,NA,Tda,Mason et al 2022
1324,Alternanthera denticulata,1,NA,Tda,MC_oneTrueList
1003,Alternanthera denticulata,1,NA,Tda,Price et al 2010
5021,Alternanthera nana,,NA,Tda,Bowen_Phd
1146,Alternanthera nana,1,NA,Tda,Brock & Casanova 2000
1325,Alternanthera nana,1,NA,Tda,MC_oneTrueList
5022,Alternanthera nodiflora,,NA,Tda,Bowen_Phd
662,Alternanthera nodiflora,1,NA,Tda,Campbell et al 2014
5611,Alternanthera nodiflora,1,NA,Tda,Campbell_RC
3936,Alternanthera nodiflora,1,NA,Tdr,JN_MLR_list
1326,Alternanthera nodiflora,1,NA,Tda,MC_oneTrueList
1327,Alternanthera philoxeroides,,NA,ARp,MC_oneTrueList
5023,Alternanthera pungens,,NA,Tda,Bowen_Phd
1328,Alternanthera pungens,1,NA,Tda,MC_oneTrueList
5024,Alternanthera sp.,,NA,Tda,Bowen_Phd
663,Alternanthera sp.,1,NA,Tda,Campbell et al 2014
1329,Alternanthera sp.,1,NA,Tda,MC_oneTrueList
664,Alternanthera sp. 1,,NA,Tda,Campbell et al 2014
1330,Alternanthera sp. 1 (Plains),,NA,Tda,MC_oneTrueList
5612,Alternanthera sp. A Flora of New South Wales (M.Gray 5187) J. Palmer,,NA,Tda,Campbell_RC
5613,Alyssum linifolium,,NA,Tdr,Campbell_RC
1331,Alyssum linifolium,1,NA,Tdr,MC_oneTrueList
5614,Amaranthus albus,,NA,Tdr,Campbell_RC
1332,Amaranthus albus,1,NA,Tdr,MC_oneTrueList
1032,Amaranthus cannabinus,,NA,AT,Leck & Brock 2000
5025,Amaranthus macrocarpus,,NA,Tdr,Bowen_Phd
5615,Amaranthus macrocarpus,1,NA,Tdr,Campbell_RC
1333,Amaranthus macrocarpus var. macrocarpus ,,NA,Tdr,MC_oneTrueList
5026,Amaranthus mitchellii,,NA,Tdr,Bowen_Phd
5027,Amaranthus sp.,,NA,Tdr,Bowen_Phd
5028,Ammannia multiflora,,NA,Tda,Bowen_Phd
665,Ammannia multiflora,1,NA,ARp,Campbell et al 2014
5616,Ammannia multiflora,1,NA,ATl,Campbell_RC
160,Ammannia multiflora,1,NA,Tda,Ling et al 2019
1334,Ammannia multiflora,1,NA,Tda,MC_oneTrueList
996,Ammannia multiflora,1,NA,AT,Price et al 2010
3937,Ammophila arenaria,,NA,Tdr,JN_MLR_list
1335,Ammophila arenaria,1,NA,Tdr,MC_oneTrueList
3938,Amphibromus archeri,,NA,Tda,JN_MLR_list
1336,Amphibromus archeri,1,NA,Tda,MC_oneTrueList
5617,Amphibromus fluitans,,NA,ARp,Campbell_RC
1337,Amphibromus fluitans,1,NA,ARp,MC_oneTrueList
573,Amphibromus macrorhinus,,NA,ATe,Casanova & Powling 2014
3939,Amphibromus macrorhinus,1,NA,Tda,JN_MLR_list
161,Amphibromus macrorhinus,1,NA,ATe,Ling et al 2019
1338,Amphibromus macrorhinus,1,NA,ATe,MC_oneTrueList
5029,Amphibromus neesii,,NA,ATe,Bowen_Phd
5618,Amphibromus neesii,1,NA,Tda,Campbell_RC
3940,Amphibromus neesii,1,NA,Tda,JN_MLR_list
162,Amphibromus neesii,1,NA,ATe,Ling et al 2019
1339,Amphibromus neesii,1,NA,ATe,MC_oneTrueList
1010,Amphibromus neesii,1,NA,Tda,Price et al 2010
5030,Amphibromus nervosus,,NA,Tda,Bowen_Phd
5619,Amphibromus nervosus,1,NA,Tda,Campbell_RC
574,Amphibromus nervosus,1,NA,ATe,Casanova & Powling 2014
3941,Amphibromus nervosus,1,NA,Tda,JN_MLR_list
163,Amphibromus nervosus,1,NA,ATe,Ling et al 2019
1340,Amphibromus nervosus,1,NA,Tda,MC_oneTrueList
3942,Amphibromus pithogastrus,,NA,Tda,JN_MLR_list
164,Amphibromus pithogastrus,1,NA,ARp,Ling et al 2019
3943,Amphibromus recurvatus,,NA,Tda,JN_MLR_list
1341,Amphibromus recurvatus ,,NA,ATe,MC_oneTrueList
3944,Amphibromus sinuatus,,NA,Tda,JN_MLR_list
1090,Amphibromus sinuatus,1,NA,AT,Leck & Brock 2000
1342,Amphibromus sinuatus,1,NA,ATe,MC_oneTrueList
1147,Amphibromus sp.,,NA,ATe,Brock & Casanova 2000
3945,Amphibromus sp.,1,NA,Tda,JN_MLR_list
1343,Amphibromus sp.,1,NA,ATe,MC_oneTrueList
1344,Amphipogon amphipogonoides,,NA,Tda,MC_oneTrueList
3946,Amphipogon caricinus var. caricinus,,NA,Tdr,JN_MLR_list
1345,Amphipogon caricinus var. caricinus,1,NA,Tdr,MC_oneTrueList
3947,Amphipogon sp.,,NA,Tda,JN_MLR_list
3948,Amphipogon strictus,,NA,Tda,JN_MLR_list
1346,Amphipogon strictus,1,NA,Tda,MC_oneTrueList
1347,Amphipogon turbinatus,,NA,Tda,MC_oneTrueList
1348,Amsinckia calycina ,,NA,Tdr,MC_oneTrueList
3949,Amyema fitzgeraldii,,NA,Tdr,JN_MLR_list
3950,Amyema gibberula var. gibberula,,NA,Tdr,JN_MLR_list
3951,Amyema hilliana,,NA,Tdr,JN_MLR_list
3952,Amyema linophylla subsp. orientalis,,NA,Tdr,JN_MLR_list
5031,Amyema lucasii,,NA,Tdr,Bowen_Phd
3953,Amyema maidenii subsp. maidenii,,NA,Tdr,JN_MLR_list
1349,Amyema maidenii subsp. maidenii,1,NA,Tdr,MC_oneTrueList
3954,Amyema melaleucae,,NA,Tdr,JN_MLR_list
1350,Amyema melaleucae,1,NA,Tdr,MC_oneTrueList
5032,Amyema miquelii,,NA,Tdr,Bowen_Phd
3955,Amyema miquelii,1,NA,Tdr,JN_MLR_list
1351,Amyema miquelii,1,NA,Tdr,MC_oneTrueList
3956,Amyema miraculosa subsp. boormanii,,NA,Tdr,JN_MLR_list
1352,Amyema miraculosa subsp. boormanii ,,NA,Tdr,MC_oneTrueList
5033,Amyema miraculosum,,NA,Tdr,Bowen_Phd
3957,Amyema pendula subsp. pendula,,NA,Tdr,JN_MLR_list
5034,Amyema preissii,,NA,Tdr,Bowen_Phd
3958,Amyema preissii,1,NA,Tdr,JN_MLR_list
1353,Amyema preissii ,,NA,Tdr,MC_oneTrueList
5035,Amyema quandang,,NA,Tdr,Bowen_Phd
3959,Amyema quandang var. bancroftii,,NA,Tdr,JN_MLR_list
5036,Amyema quandang var. quandang,,NA,Tdr,Bowen_Phd
3960,Amyema quandang var. quandang,1,NA,Tdr,JN_MLR_list
1354,Amyema quandang var. quandang,1,NA,Tdr,MC_oneTrueList
3961,Amyema sanguinea var. sanguinea,,NA,Tdr,JN_MLR_list
3962,Amyema sp.,,NA,Tdr,JN_MLR_list
1355,Amyema sp.,1,NA,Tdr,MC_oneTrueList
5037,Anagallis arvensis,,NA,Tda,Bowen_Phd
5620,Anagallis arvensis,1,NA,Tdr,Campbell_RC
4,Anagallis arvensis,1,NA,Tda,Deane et al 2017
3963,Anagallis arvensis,1,NA,Tda,JN_MLR_list
666,Anagallis arvensis var. caerulea,,NA,Tdr,Campbell et al 2014
1356,Andropogon virginicus,,NA,Tdr,MC_oneTrueList
1357,Angianthus brachypappus ,,NA,Tdr,MC_oneTrueList
5,Angianthus preissianus,,NA,Tda,Deane et al 2017
1358,Angianthus preissianus,1,NA,Tda,MC_oneTrueList
1359,Angianthus tomentosus,,NA,Tda,MC_oneTrueList
3964,Anogramma leptophylla,,NA,ARp,JN_MLR_list
1360,Anogramma leptophylla,1,NA,ARp,MC_oneTrueList
1361,Anthocercis anisantha,,NA,Tdr,MC_oneTrueList
1362,Anthocercis ilicifolia,,NA,Tdr,MC_oneTrueList
3965,Anthoxanthum odoratum,,NA,ARp,JN_MLR_list
1363,Anthoxanthum odoratum,1,NA,Tda,MC_oneTrueList
1364,Aotus subglauca var. subglauca,,NA,Tdr,MC_oneTrueList
5621,Aphanes australiana,,NA,Tdr,Campbell_RC
1365,Aphanes australiana ,,NA,Tdr,MC_oneTrueList
1366,Aphanes inexpectata,,NA,Tdr,MC_oneTrueList
3966,Aphelia gracilis,,NA,Tda,JN_MLR_list
1367,Aphelia gracilis,1,NA,Tda,MC_oneTrueList
3967,Aphelia pumilio,,NA,Tdr,JN_MLR_list
1368,Aphelia pumilio,1,NA,Tdr,MC_oneTrueList
575,Apium annuum,,NA,Tdr,Casanova & Powling 2014
1369,Apium annuum,1,NA,Tdr,MC_oneTrueList
3968,Apium graveolens,,NA,Tdr,JN_MLR_list
1370,Apium graveolens,1,NA,Tdr,MC_oneTrueList
5622,Apium gravoelens,,NA,Tdr,Campbell_RC
3969,Apium prostratum,,NA,Tdr,JN_MLR_list
1371,Apium prostratum subsp. prostratum,,NA,Tda,MC_oneTrueList
3970,Apium prostratum var. filiforme,,NA,Tdr,JN_MLR_list
3971,Apium prostratum var. prostratum,,NA,Tda,JN_MLR_list
6,Apium sp.,,NA,Tdr,Deane et al 2017
3972,Apium sp.,1,NA,Tdr,JN_MLR_list
7,Apodasmia brownii,,NA,ATe,Deane et al 2017
3973,Apodasmia brownii,1,NA,ATe,JN_MLR_list
1372,Apodasmia brownii,1,NA,ATe,MC_oneTrueList
1402,Apodasmia brownii,1,1,ATe,MC_oneTrueList
3974,Aponogeton distachyos,,NA,Sk,JN_MLR_list
1373,Aponogeton distachyos,1,NA,Sk,MC_oneTrueList
1374,Aponogeton queenslandicus,,NA,Sk,MC_oneTrueList
5038,Apophyllum anomalum,,NA,Tdr,Bowen_Phd
1375,Arabidella eremigena,,NA,Tdr,MC_oneTrueList
5623,Arctotheca calendula,,NA,Tdr,Campbell_RC
3975,Arctotheca calendula,1,NA,Tda,JN_MLR_list
1376,Arctotheca calendula,1,NA,Tdr,MC_oneTrueList
3976,Arctotheca populifolia,,NA,Tdr,JN_MLR_list
3977,Arctotheca sp.,,NA,Tda,JN_MLR_list
1377,Argemone ochroleuca,,NA,Tdr,MC_oneTrueList
5039,Argemone ochroleuca subsp. ochroleuca,,NA,Tdr,Bowen_Phd
1378,Argemone ochroleuca subsp. ochroleuca,1,NA,Tdr,MC_oneTrueList
1379,Argentipallium dealbatum,,NA,Tda,MC_oneTrueList
1380,Aristida anthoxanthioides,,NA,Tdr,MC_oneTrueList
5040,Aristida calycina,,NA,Tdr,Bowen_Phd
5624,Aristida calycina var. calycina,,NA,Tda,Campbell_RC
1381,Aristida contorta,,NA,Tdr,MC_oneTrueList
5625,Aristida holathera var. holathera,,NA,Tdr,Campbell_RC
1382,Aristida holathera var. holathera,1,NA,Tdr,MC_oneTrueList
1383,Aristida jerichoensis var. subspinulifera,,NA,Tdr,MC_oneTrueList
5041,Aristida leptopoda,,NA,Tdr,Bowen_Phd
1384,Aristida personata,,NA,Tdr,MC_oneTrueList
1385,Aristida sp.,,NA,Tdr,MC_oneTrueList
1037,Artemisia vulgaris,,NA,T,Leck & Brock 2000
1091,Arthraxon hispidus,,NA,T,Leck & Brock 2000
3978,Arthropodium fimbriatum,,NA,Tdr,JN_MLR_list
1386,Arthropodium fimbriatum,1,NA,Tdr,MC_oneTrueList
3979,Arthropodium milleflorum,,NA,Tdr,JN_MLR_list
6328,Arthropodium milleflorum,1,NA,Tda,Johns et al 2015
1387,Arthropodium milleflorum ,,NA,Tda,MC_oneTrueList
5626,Arthropodium minus,,NA,Tdr,Campbell_RC
3980,Arthropodium minus,1,NA,Tdr,JN_MLR_list
1388,Arthropodium minus,1,NA,Tdr,MC_oneTrueList
5627,Arthropodium sp.,,NA,Tdr,Campbell_RC
3981,Arthropodium sp.,1,NA,Tdr,JN_MLR_list
3982,Arthropodium strictum,,NA,Tdr,JN_MLR_list
